"","ch.exp","ch.imp"
"1",13,16.8
"2",16.95,17.6
"3",20.23,20.7
"4",20.57,20.5
"5",22.02,20.6
"6",22.64,19.5
"7",20.53,21.6
"8",21.06,20.8
"9",21.49,26.1
"10",20.66,26.5
"11",20.16,30.1
"12",24.85,35.3
"13",16.41,26
"14",15.48,28.2
"15",19.68,32.2
"16",18.65,31
"17",20.13,35.2
"18",22.62,34.9
"19",19.61,34.7
"20",21.72,34.5
"21",22.23,36.3
"22",30.78,34.5
"23",24.18,37.6
"24",27.67,61.4
"25",19.31,23
"26",18.61,31.3
"27",21.32,33.6
"28",20.88,38.6
"29",22.55,34.9
"30",25.72,37.7
"31",21.3,34.3
"32",23.83,36.2
"33",22.88,34.2
"34",24.2,33.9
"35",23.03,36.2
"36",26.51,55.4
"37",24.17,20.6
"38",28.32,29.2
"39",30.64,33.4
"40",27.81,35.3
"41",29.84,33.3
"42",34.47,34.6
"43",28.26,34.3
"44",29.9,34.9
"45",30.3,37.1
"46",28.01,33.9
"47",25.58,40.9
"48",29.81,65.6
"49",32.24,23.6
"50",29.61,31.5
"51",32.44,40.5
"52",35.65,43.2
"53",32.95,43.9
"54",35.78,39.4
"55",36.62,44.7
"56",32.27,47.5
"57",35.01,49.6
"58",32.27,46.1
"59",30.17,55.8
"60",41.38,87.6
"61",28.11,29.2
"62",29.17,36.4
"63",39.34,50
"64",39.38,58.1
"65",44.29,53.1
"66",42.25,53.7
"67",44.05,51.8
"68",48.15,50.8
"69",47.73,44.2
"70",46.15,46.9
"71",48.26,48.9
"72",68.23,68.2
"73",28.42,25.7
"74",32.53,35.3
"75",46.92,38.8
"76",48.01,43.1
"77",49.63,45.6
"78",50.99,42.6
"79",51.2,44
"80",55.13,45.9
"81",51.15,43
"82",58.8,45.5
"83",57.91,48.9
"84",90.12,74.1
"85",39.78,30.7
"86",40.61,31.2
"87",53.53,49.4
"88",52.83,52
"89",58.67,52.4
"90",59.21,52
"91",63.8,52.8
"92",64.77,56
"93",62.27,55.88
"94",62.36,52.9
"95",66.22,57.7
"96",95.6,94.7
"97",39.66,30.2
"98",49.7,48.5
"99",60,58.9
"100",63.62,60.8
"101",66.27,63.6
"102",76.58,68.3
"103",71.6,62.7
"104",76.5,63.7
"105",70.63,68.4
"106",76.87,71.7
"107",85.27,76.3
"108",113.23,133.4
"109",33.58,32
"110",58.24,64.7
"111",69.07,75.8
"112",69,75
"113",72.14,85.1
"114",69.55,73.7
"115",76.27,87.6
"116",76.38,87.4
"117",88.42,95.6
"118",80.52,86.3
"119",89.46,95.4
"120",104.31,180.6
"121",48.05,57
"122",56.24,59.6
"123",84.92,87.2
"124",89.39,94.1
"125",94.5,94.7
"126",109,99.1
"127",104,96.2
"128",102.13,100.3
"129",104.9,92.1
"130",104.3,93.9
"131",126.7,103
"132",185.06,179.4
"133",91.9,64.99
"134",89.02,71.27
"135",128.79,102.46
"136",119.88,102.69
"137",128.33,114.97
"138",140.38,109.57
"139",122.72,111.29
"140",125.32,115.88
"141",124.21,112.99
"142",123.43,109.76
"143",121.79,120.47
"144",172.64,184.74
"145",91.65,101.32
"146",86.54,81.37
"147",104.07,111.35
"148",113.82,109.26
"149",121.55,120.1
"150",122.66,109.09
"151",124.26,113.05
"152",141.34,111.39
"153",134.19,102.94
"154",152.19,113.09
"155",136.21,116.22
"156",183.26,200.32
"157",116.92,99.77
"158",98.47,77.29
"159",140.47,110.98
"160",147.95,112.21
"161",151.92,115.58
"162",153.73,112.2
"163",155.46,127.91
"164",160.27,110.7
"165",165.63,114.8
"166",178.17,128.42
"167",167.52,120.97
"168",191.9,190.78
"169",126.76,86.95
"170",121.58,89.93
"171",153.77,118.02
"172",159.52,116.86
"173",149.27,112.91
"174",156.09,118.56
"175",161.57,119.64
"176",155.57,108.79
"177",154.76,115.43
"178",147.3,116.53
"179",151.28,123.46
"180",200.01,176.79
"181",113.93,99.03
"182",110,87.22
"183",148.78,143.78
"184",148.04,138.37
"185",155.32,136.57
"186",153.98,145.23
"187",173.39,139.21
"188",183.25,134.46
"189",185.76,152.68
"190",182.32,137.93
"191",194.77,169.09
"192",202.39,174.22
"193",167.97,152.58
"194",147.75,134.29
"195",201.46,178.14
"196",205,183.61
"197",201.05,169.66
"198",221.93,203.01
"199",214.79,194.92
"200",233.29,207.88
"201",229.73,207.15
"202",228,189.16
"203",221.55,216.41
"204",219.86,214.14
"205",169.26,155.45
"206",191.99,182.26
"207",231.39,207.73
"208",227.92,218.59
"209",208.14,188.09
"210",220.81,212.52
"211",228.88,209.56
"212",235.4,221.62
"213",239.89,218.51
"214",227.91,189.02
"215",240,208.45
"216",245.03,223.9
"217",217.03,189.7
"218",191.37,159.18
"219",238.18,224.84
"220",267.24,257.52
"221",246.44,224.33
"222",260.13,230.94
"223",292.1,269.88
"224",294.37,272.05
"225",319.11,297.94
"226",299.46,251.97
"227",312.09,287.35
"228",318.89,287.33
"229",297.46,310.06
"230",244.54,237.53
"231",320.86,325.02
"232",355.95,345.6
"233",337.85,315.79
"234",344.59,323.29
"235",380.91,364.92
"236",373.82,345.94
"237",419.41,416.52
"238",408.79,351.35
"239",417.62,368.23
"240",480.63,423.03
"241",356.98,357.17
"242",340.59,420
"243",458.52,464.9
"244",471.07,495.46
"245",448.43,429.81
"246",505.24,488.98
"247",509.34,489.77
"248",513.51,468.07
"249",558.03,508.11
"250",525.24,454.34
"251",609.12,509.68
"252",637.84,527.08
"253",507.24,442.53
"254",442.77,398.92
"255",608.56,552.12
"256",620.59,576.33
"257",584.11,493.89
"258",659.22,562.23
"259",655.5,549.12
"260",683.82,577.76
"261",701.32,625.78
"262",680.45,560.64
"263",721.79,616.45
"264",754.12,643.96
"265",651.44,554.93
"266",541.07,515.74
"267",780.17,668.42
"268",768.19,664.63
"269",730.56,601.29
"270",812.53,668.7
"271",803.25,657.06
"272",907.62,718.97
"273",915.53,762.92
"274",880.82,642.81
"275",957.82,728.97
"276",940.18,729.75
"277",866.24,707.09
"278",821.25,583.37
"279",835.83,766.78
"280",974.72,807.89
"281",940.91,716.3
"282",1033.59,764.43
"283",1077.26,833.73
"284",1114.25,862.16
"285",1122.72,882.48
"286",1076.57,805.26
"287",1175.77,912.3
"288",1143.62,917.15
"289",1098.08,902.81
"290",874.19,791.2
"291",1089.58,959.17
"292",1190.82,1024.13
"293",1207.29,1008.16
"294",1213.62,1004.33
"295",1366.75,1113.97
"296",1353.88,1060.18
"297",1364.32,1070.65
"298",1284.94,927.08
"299",1150.33,746.33
"300",1110.65,720.3
